market,symbol,name,date,open,high,low,close,volume,source,updated_at
A股,DEMO001,样例科技股,2025-01-02,100.55,100.98,99.24,99.41,1991222,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-03,99.1,101.06,99.05,100.49,1508778,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-06,100.68,102.53,100.59,102.11,1009860,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-07,102.52,104.59,102.19,104.5,1348425,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-08,104.64,104.75,104.2,104.22,869486,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-09,103.31,104.38,103.06,103.93,1171419,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-10,103.74,105.7,103.27,105.41,1935363,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-13,105.53,105.79,104.91,105.12,1853136,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-14,104.64,104.97,102.06,102.09,1626893,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-15,101.55,101.68,99.53,100.01,1724936,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-16,99.41,100.03,98.84,99.03,1915107,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-17,98.16,102.03,97.95,101.97,1477789,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-20,101.8,104.15,101.46,104.13,1391278,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-21,103.9,103.93,102.61,102.79,1815068,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-22,102.7,104.75,102.48,104.33,861486,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-23,103.89,103.93,103.71,103.84,1492069,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-24,102.92,105.34,102.44,104.76,1219044,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-27,104.7,106.43,104.25,106.4,1823577,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-28,107.23,107.4,104.76,104.84,995102,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-29,104.75,105.63,104.67,105.43,1754109,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-30,104.8,105.6,102.06,102.38,1569664,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-01-31,102.29,104.62,102.09,104.55,1825508,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-03,103.91,106.19,103.82,105.45,1297066,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-04,105.03,107.74,104.64,107.46,1938205,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-05,107.03,107.39,105.61,105.83,1163687,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-06,105.88,107.47,105.72,107.45,855296,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-07,107.9,107.98,104.29,105.07,1855888,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-10,104.62,104.81,103.19,103.28,1059727,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-11,103.17,103.27,100.31,100.83,989768,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-12,100.91,103.25,100.32,103.07,832734,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-13,101.54,101.74,100.74,101.11,862573,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-14,100.21,101.76,99.96,100.91,840248,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-17,100.44,100.75,99.86,99.86,1128213,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-18,99.09,103.07,98.95,102.93,1744902,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-19,102.53,102.71,101.21,102.15,1609230,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-20,102.43,106.66,102.06,106.34,1415997,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-21,106.88,107.22,104.96,105.01,1770596,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-24,104.47,105.5,103.82,105.47,1066899,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-25,106.46,106.56,105.1,105.61,1355943,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-26,104.67,105.38,104.37,105.26,1531592,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-27,105.76,105.85,104.51,104.84,1070052,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-02-28,104.76,105.09,102.0,102.22,995131,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-03,101.72,102.27,101.48,102.03,1043651,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-04,101.83,104.45,101.48,104.18,1092858,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-05,105.8,106.06,102.01,102.1,1157619,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-06,101.7,101.93,100.64,100.71,1278749,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-07,100.21,102.77,99.82,102.5,1586904,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-10,103.26,103.98,98.95,99.12,864446,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-11,99.67,99.76,99.16,99.45,1389324,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-12,98.57,102.74,98.06,102.65,1186511,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-13,101.98,102.78,101.27,102.69,1506966,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-14,103.95,104.49,102.02,102.36,1772667,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-17,101.77,103.54,101.55,103.45,1242989,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-18,104.28,104.53,102.05,102.52,1410386,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-19,102.06,102.1,101.05,101.31,957479,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-20,101.01,101.73,99.37,99.64,966714,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-21,101.03,101.62,98.46,98.52,1156150,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-24,98.23,99.5,97.87,99.01,1140102,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-25,99.36,100.07,99.18,99.66,1869681,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-26,99.99,102.21,99.96,102.14,1126489,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-27,102.34,102.79,101.55,101.7,1469796,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-28,101.63,101.67,101.5,101.53,1502409,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-03-31,102.12,102.45,100.29,100.33,1990385,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-01,100.57,100.85,99.46,99.46,837339,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-02,99.66,102.92,99.63,102.61,1916207,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-03,102.14,102.28,100.23,100.6,1164746,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-04,99.81,101.82,99.74,101.69,1574434,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-07,100.22,103.45,99.43,103.21,1672174,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-08,103.96,104.47,102.29,102.6,1011670,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-09,102.96,104.18,102.5,104.07,1050434,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-10,103.96,105.99,103.43,105.66,1999322,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-11,106.01,106.05,104.41,104.96,1457423,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-14,104.53,106.14,104.36,106.02,1179045,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-15,106.52,106.6,105.61,105.81,858844,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-16,105.89,107.92,105.46,107.85,1913769,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-17,107.87,110.73,107.59,110.25,1290699,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-18,110.43,113.64,110.28,113.59,1113098,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-21,113.38,113.49,112.23,112.56,1868446,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-22,113.1,113.39,112.6,113.22,1783622,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-23,113.2,113.3,110.32,110.5,1434401,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-24,110.74,110.8,107.42,108.2,1316604,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-25,108.1,109.23,107.43,108.92,1991008,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-28,108.32,109.31,105.13,105.64,1395598,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-29,105.84,109.39,105.79,109.35,1363043,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-04-30,109.77,110.16,108.29,108.4,1042181,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-01,108.78,110.1,108.15,110.0,1244048,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-02,110.78,111.11,110.76,111.09,1012400,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-05,111.86,111.87,110.34,110.87,950920,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-06,110.98,114.34,110.96,113.94,1026396,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-07,113.6,117.74,113.59,117.74,1241219,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-08,117.91,118.48,117.27,118.02,1810300,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
A股,DEMO001,样例科技股,2025-05-09,117.38,117.67,114.95,115.19,1848597,内置样例数据（确定性生成器 generate_sample_data.py）,2026-07-29
